ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0032787,monocarboxylic acid metabolic process,41/323,440/12416,9.413786419658932e-13,3.0707771300927438e-9,2.8964734425961118e-9,Dlat/Abhd3/Cd36/Prkar2b/Lpl/Pdk4/Igf1/Acaca/Lpin1/Acly/Acot2/Pdhb/Ephx2/Gpd1/Mpc1/Cd74/Fads3/Pcx/Fasn/Scd2/Cyp2e1/Acadl/Dbi/Mpc2/Gatm/Fabp5/Acss2/Cpt2/Pgd/Aacs/Dgat2/Pdha1/Ces1f/Me1/Scd1/Elovl3/Elovl6/Insig1/Eno1b/Hadhb/Fabp4,41
GO:0006084,acetyl-CoA metabolic process,11/323,30/12416,1.0957022119818973e-10,1.4092818665456273e-7,1.3292881009109263e-7,Dlat/Pdk4/Acaca/Acly/Pdhb/Mpc1/Fasn/Mpc2/Acss2/Pmvk/Pdha1,11
GO:0008610,lipid biosynthetic process,38/323,450/12416,1.2960900060198904e-10,1.4092818665456273e-7,1.3292881009109263e-7,Abhd3/Lpl/Hsd11b1/Pdk4/Igf1/Acaca/Lpin1/Acly/Cd74/Fads3/Pcx/Sorbs1/Fasn/Scd2/Pnpla2/Acadl/Dbi/Agpat2/Hsd17b12/Fabp5/Acss2/Pmvk/Dgat2/G6pdx/Sc5d/Lss/B3galt2/Dhcr24/Thrsp/Igfbp7/Scd1/Elovl3/Elovl6/Insig1/Idi1/Fdps/Chpt1/Plaat3,38
GO:0006631,fatty acid metabolic process,29/323,297/12416,8.388281902724356e-10,6.840643891671713e-7,6.452354737279815e-7,Abhd3/Cd36/Prkar2b/Lpl/Pdk4/Acaca/Lpin1/Acly/Acot2/Ephx2/Cd74/Fads3/Fasn/Scd2/Cyp2e1/Acadl/Dbi/Fabp5/Acss2/Cpt2/Aacs/Dgat2/Ces1f/Scd1/Elovl3/Elovl6/Insig1/Hadhb/Fabp4,29
GO:0006085,acetyl-CoA biosynthetic process,8/323,17/12416,3.814645225731713e-9,2.4886745452673692e-06,2.3474122094344837e-6,Dlat/Pdk4/Acly/Pdhb/Mpc1/Mpc2/Acss2/Pdha1,8
GO:0006637,acyl-CoA metabolic process,13/323,65/12416,9.553621643064048e-9,4.4519876856678465e-6,4.199283618447551e-6,Dlat/Pdk4/Acaca/Acly/Acot2/Pdhb/Mpc1/Fasn/Mpc2/Acss2/Pmvk/Dgat2/Pdha1,13
GO:0035383,thioester metabolic process,13/323,65/12416,9.553621643064048e-9,4.4519876856678465e-6,4.199283618447551e-6,Dlat/Pdk4/Acaca/Acly/Acot2/Pdhb/Mpc1/Fasn/Mpc2/Acss2/Pmvk/Dgat2/Pdha1,13
GO:0120162,positive regulation of cold-induced thermogenesis,14/323,78/12416,1.1198626854149974e-8,4.566240099779652e-6,4.307050828247418e-6,Cd36/Lpin1/Vegfa/Acadl/Gatm/Fabp5/Cpt2/Adrb3/Cnot3/Scd1/Elovl3/Elovl6/Lepr/Fabp4,14
GO:0006633,fatty acid biosynthetic process,16/323,116/12416,5.017725942382404e-8,1.818646891561267e-5,1.715416716910382e-5,Abhd3/Lpl/Pdk4/Acaca/Acly/Cd74/Fads3/Fasn/Scd2/Acadl/Fabp5/Acss2/Scd1/Elovl3/Elovl6/Insig1,16
GO:0019693,ribose phosphate metabolic process,25/323,276/12416,5.758582306835218e-8,1.878449548489648e-5,1.7718248508294047e-5,Dlat/Pdk4/Igf1/Acaca/Acly/Pygl/Acot2/Pdhb/Tkt/Gpd1/Mpc1/Fasn/Mpc2/Acss2/Pmvk/Cmpk1/Ak2/Dgat2/Pdha1/G6pdx/Nudt18/Eno1b/COX2/ATP8/ATP6,25
